Station_ID,TIMESTAMP,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,LAT,LON,Elevation
,,Celsius,%,m/s,Degrees,-14.331,-170.7105,9
NSTU,2017-01-07T18:51:00-1100,29.2,79.14,2.57,,-14.331,-170.7105,9
NSTU,2017-01-07T19:50:00-1100,28.2,83.85,1.54,,-14.331,-170.7105,9
NSTU,2017-01-07T20:50:00-1100,28,84.83,1.03,,-14.331,-170.7105,9
NSTU,2017-01-07T21:50:00-1100,28.1,84.34,0,0,-14.331,-170.7105,9
NSTU,2017-01-07T22:50:00-1100,27,89.39,1.54,,-14.331,-170.7105,9
NSTU,2017-01-07T23:50:00-1100,26.6,90.97,0,0,-14.331,-170.7105,9
NSTU,2017-01-08T00:50:00-1100,26.5,92.06,1.03,,-14.331,-170.7105,9
NSTU,2017-01-08T01:50:00-1100,26.2,92.59,0,0,-14.331,-170.7105,9
NSTU,2017-01-08T02:50:00-1100,26.1,93.14,1.03,,-14.331,-170.7105,9
NSTU,2017-01-08T03:50:00-1100,25.9,93.68,1.03,,-14.331,-170.7105,9
NSTU,2017-01-08T04:50:00-1100,25.8,93.68,1.54,,-14.331,-170.7105,9
NSTU,2017-01-08T05:50:00-1100,25.5,94.23,1.54,,-14.331,-170.7105,9
NSTU,2017-01-08T06:51:00-1100,26.4,93.15,1.03,,-14.331,-170.7105,9
NSTU,2017-01-08T07:53:00-1100,29.5,83.99,2.06,,-14.331,-170.7105,9
NSTU,2017-01-08T08:54:00-1100,29.8,81.11,3.6,100,-14.331,-170.7105,9
NSTU,2017-01-08T09:55:00-1100,31,78.92,3.6,100,-14.331,-170.7105,9
NSTU,2017-01-08T10:58:00-1100,31.5,77.16,3.6,120,-14.331,-170.7105,9
NSTU,2017-01-08T11:50:00-1100,31.5,76.71,3.6,130,-14.331,-170.7105,9
NSTU,2017-01-08T12:51:00-1100,31.6,75.83,4.12,120,-14.331,-170.7105,9
NSTU,2017-01-08T13:51:00-1100,31.7,76.3,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-08T14:50:00-1100,31.6,75.83,4.63,100,-14.331,-170.7105,9
NSTU,2017-01-08T15:51:00-1100,31.4,76.25,3.6,110,-14.331,-170.7105,9
NSTU,2017-01-08T16:50:00-1100,31,74.41,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-08T17:51:00-1100,29.9,78.3,5.14,100,-14.331,-170.7105,9
NSTU,2017-01-08T18:51:00-1100,29.2,81.04,3.09,,-14.331,-170.7105,9
NSTU,2017-01-08T19:50:00-1100,28.4,86.39,1.54,,-14.331,-170.7105,9
NSTU,2017-01-08T20:51:00-1100,28.4,86.39,0,0,-14.331,-170.7105,9
NSTU,2017-01-08T21:50:00-1100,28.4,85.88,1.54,,-14.331,-170.7105,9
NSTU,2017-01-08T22:51:00-1100,28.2,82.86,3.6,80,-14.331,-170.7105,9
NSTU,2017-01-08T23:50:00-1100,26.6,90.43,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T00:50:00-1100,26.4,93.15,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T01:50:00-1100,25.8,92.02,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T02:50:00-1100,26.3,93.7,1.03,,-14.331,-170.7105,9
NSTU,2017-01-09T03:50:00-1100,26.2,94.25,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T04:50:00-1100,25.3,95.35,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T05:50:00-1100,25.2,95.92,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T06:50:00-1100,25.3,96.49,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T07:51:00-1100,25.1,96.49,1.54,,-14.331,-170.7105,9
NSTU,2017-01-09T08:51:00-1100,27.7,89.98,0,0,-14.331,-170.7105,9
NSTU,2017-01-09T09:52:00-1100,28.8,86.43,2.06,,-14.331,-170.7105,9
NSTU,2017-01-09T10:50:00-1100,29.2,83.47,2.57,,-14.331,-170.7105,9
NSTU,2017-01-09T11:50:00-1100,30,79.25,2.57,,-14.331,-170.7105,9
NSTU,2017-01-09T12:50:00-1100,30.4,78.84,3.6,130,-14.331,-170.7105,9
NSTU,2017-01-09T13:50:00-1100,30.6,80.27,3.09,,-14.331,-170.7105,9
NSTU,2017-01-09T14:50:00-1100,30.8,78.89,3.09,,-14.331,-170.7105,9
NSTU,2017-01-09T15:50:00-1100,30.8,77.06,3.09,,-14.331,-170.7105,9
NSTU,2017-01-09T16:56:00-1100,30.6,76.58,3.09,,-14.331,-170.7105,9
NSTU,2017-01-09T17:52:00-1100,29.9,76.47,2.57,,-14.331,-170.7105,9
NSTU,2017-01-09T18:50:00-1100,29.1,77.26,2.57,,-14.331,-170.7105,9
NSTU,2017-01-09T19:50:00-1100,28.9,80.52,3.6,130,-14.331,-170.7105,9
NSTU,2017-01-09T20:51:00-1100,29,81.49,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-09T21:50:00-1100,28.8,82.93,4.12,120,-14.331,-170.7105,9
NSTU,2017-01-09T22:50:00-1100,28.7,82.92,3.6,120,-14.331,-170.7105,9
NSTU,2017-01-09T23:50:00-1100,28.6,83.4,4.12,120,-14.331,-170.7105,9
NSTU,2017-01-10T00:50:00-1100,28.6,84.39,3.6,110,-14.331,-170.7105,9
NSTU,2017-01-10T01:52:00-1100,28.7,84.4,4.12,110,-14.331,-170.7105,9
NSTU,2017-01-10T02:50:00-1100,28.7,83.41,5.14,100,-14.331,-170.7105,9
NSTU,2017-01-10T03:50:00-1100,28.4,85.37,3.6,110,-14.331,-170.7105,9
NSTU,2017-01-10T04:52:00-1100,28.6,85.9,4.12,110,-14.331,-170.7105,9
NSTU,2017-01-10T05:52:00-1100,28.2,85.86,6.69,130,-14.331,-170.7105,9
NSTU,2017-01-10T06:50:00-1100,29.1,85.95,6.69,100,-14.331,-170.7105,9
NSTU,2017-01-10T07:50:00-1100,29.4,81.06,4.12,90,-14.331,-170.7105,9
NSTU,2017-01-10T08:50:00-1100,30.9,74.39,5.14,80,-14.331,-170.7105,9
NSTU,2017-01-10T09:50:00-1100,31.4,78.52,5.66,90,-14.331,-170.7105,9
NSTU,2017-01-10T10:50:00-1100,31.9,76.77,5.14,100,-14.331,-170.7105,9
NSTU,2017-01-10T11:50:00-1100,32,77.24,6.17,90,-14.331,-170.7105,9
NSTU,2017-01-10T12:50:00-1100,32.1,75.03,5.66,90,-14.331,-170.7105,9
NSTU,2017-01-10T13:50:00-1100,32.1,75.91,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-10T14:50:00-1100,31.9,74.56,6.69,100,-14.331,-170.7105,9
NSTU,2017-01-10T15:50:00-1100,31.7,75.85,5.14,90,-14.331,-170.7105,9
NSTU,2017-01-10T16:50:00-1100,31.4,71.04,6.17,90,-14.331,-170.7105,9
NSTU,2017-01-10T17:50:00-1100,30.3,74.74,3.6,70,-14.331,-170.7105,9
NSTU,2017-01-10T18:50:00-1100,29.6,77.34,4.63,90,-14.331,-170.7105,9
NSTU,2017-01-10T19:50:00-1100,28.1,82.85,2.06,,-14.331,-170.7105,9
NSTU,2017-01-10T20:54:00-1100,27.7,85.3,1.54,,-14.331,-170.7105,9
NSTU,2017-01-10T21:54:00-1100,27.8,86.33,0,0,-14.331,-170.7105,9
NSTU,2017-01-10T22:50:00-1100,27.7,87.87,2.06,,-14.331,-170.7105,9
NSTU,2017-01-10T23:50:00-1100,27.4,90.49,1.54,,-14.331,-170.7105,9
NSTU,2017-01-11T00:51:00-1100,26.9,92.63,0,0,-14.331,-170.7105,9
NSTU,2017-01-11T01:51:00-1100,26.8,89.38,2.06,,-14.331,-170.7105,9
NSTU,2017-01-11T02:50:00-1100,26.8,92.62,1.03,,-14.331,-170.7105,9
NSTU,2017-01-11T03:52:00-1100,26.2,91.49,1.54,,-14.331,-170.7105,9
NSTU,2017-01-11T04:54:00-1100,26.1,92.03,0,0,-14.331,-170.7105,9
NSTU,2017-01-11T05:52:00-1100,26.1,93.69,0,0,-14.331,-170.7105,9
NSTU,2017-01-11T06:50:00-1100,27.2,92.64,0,0,-14.331,-170.7105,9
NSTU,2017-01-11T07:50:00-1100,29.6,83.51,1.54,,-14.331,-170.7105,9
NSTU,2017-01-11T08:50:00-1100,30.9,76.62,4.63,90,-14.331,-170.7105,9
NSTU,2017-01-11T09:50:00-1100,30.1,78.79,3.09,,-14.331,-170.7105,9
